id,event_name
94,"BDS is back with new members Ed and Tim!",2014-11-07,2,0,0,,"BDS is back with new members Ed and Tim!","BDS is back with new members Ed and Tim!",20:00:00,01:30:00,confirmed
93," ",2014-08-15,2,0,0,,"BDS is back with new members Dave and Drew. Please come out and welcome them!",,21:00:00,01:30:00,confirmed
92,,2013-11-02,12,0,0,,"Drop by and here some of our new song selections!",,21:30:00,00:00:00,confirmed
91,"San Jose Rock and Roll Run",2013-10-06,19,0,0,,,"We are playing the Metal Edge, don't miss this event!",08:45:00,11:30:00,confirmed
89,,2013-08-24,17,0,0,,,,13:00:00,17:00:00,confirmed
88,"Back at our favorite San Mateo bar!",2013-07-20,12,0,0,,"Back at our favorite San Mateo bar!","Back at our favorite San Mateo bar!",21:00:00,00:00:00,confirmed
87,"BDS at the Elk's Lodge",2013-08-03,17,0,0,,"Celebrate summer with BDS!","Celebrate summer with BDS!",13:00:00,17:00:00,confirmed
86,,2013-08-15,18,0,0,,,"Live music at your local farmers market",17:00:00,21:00:00,confirmed
85,,2013-06-22,17,0,0,,"BDS members are Elks for the day!",,13:00:00,00:00:17,confirmed
84,,2013-06-15,12,0,0,,"Come see BDS at our favorite local bar!",,21:00:00,00:00:00,confirmed
82,,2013-05-19,16,0,0,,"Register soon and party with BDS!","Register soon and party with BDS!",06:30:00,10:00:00,confirmed
81,,2013-04-13,12,0,0,,"Back at our favorite downtown San Mateo bar!","Back at our favorite downtown San Mateo bar!",21:00:00,00:00:00,confirmed
80,,2013-03-09,12,0,0,,,"We love playing in our home town!",21:00:00,00:00:00,not_confirmed
79,,2013-02-02,12,0,0,,,"We love playing in our home town!",21:00:00,00:00:00,confirmed
78,,2012-12-15,12,0,0,,"Celebrate the holiday's with BDS!",,21:00:00,00:00:00,confirmed
76,,2012-10-19,15,0,0,,"BDS is teaming up with Merv to play a benefit show for Epidermolysis Bullosa. Come support this great cause! For more info see the <a href=""https://www.facebook.com/events/285279308247472/"">Facebook Event Page</a>.",,20:00:00,22:00:00,confirmed
75,,2012-09-29,9,0,0,,"Come join us at this traditional fall festival!",,18:00:00,00:00:00,confirmed
74,,2012-08-31,2,0,0,,,"Enjoy the patio with BDS!",21:00:00,00:00:00,confirmed
73,,2012-09-07,4,0,0,,,"Start your weekend with BDS!",21:00:00,00:00:00,confirmed
72,,2012-08-18,12,0,0,,,"Johnny and Chris's birthday gig!",21:00:00,00:00:00,confirmed
